1600000	ZhangWeiming	Math
1600001	JiangQijie	Computer Science
1600002	ZhangRuiyang	Math
1600003	JiangZijin	Computer Science
1600004	ZhaoBaohua	Computer Science
1600005	ZhaoRuiyang	Math
1600006	GaoLi	Math
1600007	GaoZeming	Math
1600008	WuLi	Math
1600009	ZengZeming	Physics
1600010	GaoJing	Math
1600011	GaoJun	Computer Science
1600012	ZhaoZeming	Computer Science
1600013	GaoJun	Physics
1600014	JiangZijin	Computer Science
1600015	JiangZijin	Computer Science
1600016	GaoWeiming	Computer Science
1600017	ZengBaohua	Math
1600018	ZengLi	Computer Science
1600019	JiangYouwei	Computer Science
1600020	LiLi	Computer Science
1600021	GaoBaohua	Computer Science
1600022	ZengZeming	Math
1600023	ZengJing	Math
1600024	ZengLi	Physics
1600025	ZhangZeming	Physics
1600026	WuRuiyang	Physics
1600027	LiQijie	Computer Science
1600028	ZhangLi	Computer Science
1600029	GaoZeming	Computer Science
1600030	JiangZijin	Physics
1600031	ZhangLi	Math
1600032	JiangRuiyang	Math
1600033	LiYouwei	Physics
1600034	JiangYouwei	Computer Science
1600035	LiZeming	Computer Science
1600036	GaoZijin	Physics
1600037	ZhangJun	Computer Science
1600038	ZengWeiming	Computer Science
1600039	GaoQijie	Math
1600040	WuQijie	Computer Science
1600041	ZhaoYouwei	Computer Science
1600042	ZhaoBaohua	Computer Science
1600043	ZhangWeiming	Physics
1600044	JiangYouwei	Physics
1600045	ZengLi	Physics
1600046	ZengLi	Physics
1600047	LiWeiming	Math
1600048	ZengBaohua	Physics
1600049	ZhangQijie	Physics
1600050	ZengZijin	Computer Science
1600051	GaoQijie	Physics
1600052	JiangWeiming	Math
1600053	GaoJun	Physics
1600054	LiZeming	Math
1600055	WuQijie	Math
1600056	LiJing	Computer Science
1600057	GaoZeming	Math
1600058	ZhangZijin	Computer Science
1600059	WuWeiming	Computer Science
1600060	ZengLi	Physics
1600061	ZhaoZeming	Physics
1600062	ZhaoWeiming	Computer Science
1600063	WuZijin	Computer Science
1600064	LiJun	Math
1600065	WuJing	Physics
1600066	JiangYouwei	Math
1600067	LiBaohua	Physics
1600068	GaoJing	Physics
1600069	ZhaoYouwei	Computer Science
1600070	ZhaoWeiming	Math
1600071	ZhangJing	Physics
1600072	ZhaoZeming	Physics
1600073	WuYouwei	Computer Science
1600074	ZengZijin	Math
1600075	JiangJing	Physics
1600076	JiangRuiyang	Physics
1600077	JiangYouwei	Computer Science
1600078	ZhangWeiming	Math
1600079	GaoWeiming	Computer Science
1600080	ZengZijin	Physics
1600081	WuQijie	Math
1600082	ZhaoQijie	Math
1600083	ZengRuiyang	Computer Science
1600084	WuQijie	Computer Science
1600085	WuZijin	Math
1600086	ZhaoZeming	Physics
1600087	ZhaoRuiyang	Computer Science
1600088	LiRuiyang	Math
1600089	ZengQijie	Math
1600090	WuZijin	Computer Science
1600091	ZengBaohua	Math
1600092	JiangRuiyang	Computer Science
1600093	WuZijin	Physics
1600094	WuBaohua	Math
1600095	GaoJing	Math
1600096	ZhaoRuiyang	Computer Science
1600097	ZengZijin	Computer Science
1600098	ZhangRuiyang	Math
1600099	GaoJing	Math
1600100	GaoQijie	Computer Science
1600101	ZhaoZeming	Math
1600102	LiJun	Math
1600103	ZhaoBaohua	Physics
1600104	LiYouwei	Math
1600105	GaoRuiyang	Math
1600106	ZengYouwei	Computer Science
1600107	ZhangJing	Physics
1600108	LiJing	Physics
1600109	WuLi	Physics
1600110	GaoQijie	Math
1600111	JiangZijin	Computer Science
1600112	ZhaoRuiyang	Math
1600113	JiangJing	Math
1600114	ZhangJun	Math
1600115	ZhaoJun	Physics
1600116	ZhangRuiyang	Math
1600117	ZhaoBaohua	Math
1600118	ZhaoJun	Physics
1600119	LiLi	Computer Science
1600120	LiRuiyang	Physics
1600121	GaoQijie	Computer Science
1600122	ZhangLi	Physics
1600123	JiangWeiming	Computer Science
1600124	WuJing	Physics
1600125	JiangJun	Computer Science
1600126	JiangRuiyang	Math
1600127	GaoJun	Physics
1600128	LiWeiming	Math
1600129	LiBaohua	Computer Science
1600130	LiLi	Math
1600131	WuWeiming	Physics
1600132	ZengQijie	Math
1600133	LiZeming	Math
1600134	GaoZeming	Computer Science
1600135	ZhangYouwei	Math
1600136	WuRuiyang	Math
1600137	GaoBaohua	Math
1600138	ZhaoZijin	Math
1600139	ZhaoZijin	Computer Science
1600140	GaoJing	Physics
1600141	JiangQijie	Math
1600142	ZhangBaohua	Physics
1600143	GaoYouwei	Computer Science
1600144	LiJing	Math
1600145	ZhaoLi	Computer Science
1600146	JiangYouwei	Math
1600147	ZhaoWeiming	Physics
1600148	WuZijin	Math
1600149	ZengRuiyang	Computer Science
1600150	ZhangYouwei	Math
1600151	JiangRuiyang	Math
1600152	ZhangYouwei	Physics
1600153	LiRuiyang	Math
1600154	ZhangYouwei	Computer Science
1600155	ZengZijin	Computer Science
1600156	LiJun	Math
1600157	ZhangZijin	Computer Science
1600158	ZengJun	Computer Science
1600159	WuRuiyang	Math
1600160	ZengJing	Physics
1600161	LiJing	Computer Science
1600162	ZengYouwei	Computer Science
1600163	GaoJun	Physics
1600164	LiJun	Computer Science
1600165	WuQijie	Physics
1600166	LiWeiming	Computer Science
1600167	ZhaoZeming	Computer Science
1600168	ZhangZeming	Physics
1600169	ZengJun	Physics
1600170	GaoLi	Computer Science
1600171	WuYouwei	Math
1600172	ZhangJun	Math
1600173	ZengBaohua	Physics
1600174	LiZijin	Computer Science
1600175	JiangZeming	Computer Science
1600176	GaoZijin	Physics
1600177	JiangJun	Computer Science
1600178	JiangZijin	Physics
1600179	ZhangZeming	Physics
1600180	ZengZeming	Computer Science
1600181	JiangBaohua	Physics
1600182	WuJun	Physics
1600183	WuYouwei	Physics
1600184	ZengZijin	Math
1600185	GaoJing	Math
1600186	LiLi	Math
1600187	WuZijin	Physics
1600188	ZhangJun	Math
1600189	ZhaoZijin	Math
1600190	ZhangZeming	Computer Science
1600191	ZengBaohua	Math
1600192	ZhaoBaohua	Physics
1600193	WuYouwei	Computer Science
1600194	ZhaoBaohua	Physics
1600195	JiangQijie	Physics
1600196	ZengLi	Math
1600197	LiZijin	Computer Science
1600198	LiJun	Physics
1600199	ZengJun	Computer Science
1600200	ZengYouwei	Math
1600201	GaoZeming	Math
1600202	JiangJing	Computer Science
1600203	LiLi	Physics
1600204	GaoLi	Computer Science
1600205	JiangZijin	Math
1600206	WuZijin	Math
1600207	ZhangZijin	Math
1600208	JiangBaohua	Math
1600209	LiZeming	Math
1600210	LiYouwei	Math
1600211	LiQijie	Computer Science
1600212	WuQijie	Physics
1600213	LiZijin	Computer Science
1600214	WuRuiyang	Physics
1600215	ZhaoJun	Physics
1600216	ZhaoZeming	Computer Science
1600217	WuBaohua	Physics
1600218	ZengWeiming	Computer Science
1600219	ZengRuiyang	Math
1600220	ZhaoWeiming	Computer Science
1600221	GaoJing	Physics
1600222	JiangYouwei	Computer Science
1600223	WuQijie	Math
1600224	ZhangRuiyang	Physics
1600225	GaoZeming	Computer Science
1600226	ZhangQijie	Math
1600227	WuJing	Math
1600228	ZengRuiyang	Math
1600229	ZhaoJing	Physics
1600230	ZhangYouwei	Computer Science
1600231	WuRuiyang	Math
1600232	LiZijin	Physics
1600233	JiangBaohua	Computer Science
1600234	JiangZeming	Physics
1600235	JiangZijin	Physics
1600236	LiLi	Math
1600237	JiangQijie	Physics
1600238	ZhangWeiming	Math
1600239	ZhangWeiming	Math
1600240	JiangQijie	Physics
1600241	GaoZijin	Computer Science
1600242	WuJing	Math
1600243	GaoZeming	Physics
1600244	ZhangYouwei	Math
1600245	WuJun	Computer Science
1600246	JiangZeming	Physics
1600247	ZhaoZeming	Computer Science
1600248	LiZeming	Computer Science
1600249	ZengZeming	Physics
1600250	GaoWeiming	Math
1600251	LiZeming	Computer Science
1600252	WuRuiyang	Math
1600253	ZhangZijin	Computer Science
1600254	GaoLi	Math
1600255	LiQijie	Computer Science
1600256	JiangWeiming	Computer Science
1600257	GaoRuiyang	Computer Science
1600258	GaoZeming	Physics
1600259	WuJing	Computer Science
1600260	ZhaoRuiyang	Physics
1600261	ZhangJun	Math
1600262	WuRuiyang	Math
1600263	LiJun	Math
1600264	GaoJing	Math
1600265	ZengRuiyang	Math
1600266	ZengRuiyang	Physics
1600267	ZhangRuiyang	Physics
1600268	ZhaoBaohua	Physics
1600269	ZhaoLi	Computer Science
1600270	LiJing	Math
1600271	ZhaoRuiyang	Math
1600272	WuZijin	Computer Science
1600273	ZhangYouwei	Computer Science
1600274	JiangJun	Physics
1600275	ZhaoLi	Math
1600276	ZhaoLi	Physics
1600277	WuJing	Computer Science
1600278	GaoBaohua	Physics
1600279	ZhangZeming	Math
1600280	ZhangJing	Physics
1600281	ZengYouwei	Math
1600282	LiYouwei	Computer Science
1600283	LiQijie	Math
1600284	ZhangBaohua	Math
1600285	ZengJun	Math
1600286	ZhaoWeiming	Computer Science
1600287	JiangWeiming	Computer Science
1600288	GaoJun	Computer Science
1600289	ZhangRuiyang	Computer Science
1600290	ZhangQijie	Computer Science
1600291	LiJun	Physics
1600292	ZhaoLi	Math
1600293	WuJing	Computer Science
1600294	ZhaoZeming	Math
1600295	ZhangYouwei	Computer Science
1600296	WuYouwei	Physics
1600297	GaoJing	Computer Science
1600298	ZhaoBaohua	Math
1600299	ZhangQijie	Physics
1600300	ZhangZeming	Physics
1600301	ZhaoYouwei	Physics
1600302	ZhangZijin	Physics
1600303	WuZijin	Physics
1600304	ZhangZijin	Physics
1600305	GaoWeiming	Math
1600306	GaoBaohua	Computer Science
1600307	LiRuiyang	Physics
1600308	WuZeming	Math
1600309	ZhaoYouwei	Physics
1600310	LiRuiyang	Physics
1600311	JiangLi	Computer Science
